Last Update,Neighbourhood,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area,External Area,Total Area,Rate,Price,Discounted amount,Launch day Price Incl.VAT,Status,Orientation/View
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,303,1 BED,41,14,55,48164,2649000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,315,1 BED,38,13,51,50000,2550000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,317,1 BED,38,13,51,49000,2499000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,319,1 BED,42,0,42,59500,2499000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,323,1 BED,36,0,36,77750,2799000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,403,1 BED,41,14,55,49982,2749000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,413,1 BED,43,14,57,50860,2899000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,415,1 BED,48,16,64,46859,2999000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,416,1 BED,42,0,42,61881,2599000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,420,1 BED,36,0,36,68056,2450000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,503,1 BED,41,14,55,51800,2849000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,518,1 BED,36,0,36,69306,2495000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,513,2 BED,59,18,77,51935,3999000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,519,2 BED,62,17,79,37342,2950000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,301,STUDIO,41,11,52,49038,2550000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,302,STUDIO,30,13,43,48814,2099000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,304,STUDIO,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,305,STUDIO,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,306,STUDIO,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,307,STUDIO,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,308,STUDIO,31,0,31,56452,1750000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,309,STUDIO,31,0,31,56452,1750000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,310,STUDIO,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,311,STUDIO,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,312,STUDIO,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,313,STUDIO,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,314,STUDIO,31,0,31,57387,1779000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,316,STUDIO,25,12,37,40514,1499000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,318,STUDIO,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,320,STUDIO,31,0,31,57387,1779000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,321,STUDIO,31,0,31,57387,1779000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,322,STUDIO,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,324,STUDIO,29,0,29,59621,1729000,,,SOLD,
