Last Update,Area,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area ,External Area ,Total Area ,Rate per m2,Price Incl. VAT ,Discounted amount,Launch day Price Incl.VAT,Sold/Unsold(Status),Orientation/View
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,303,1 bed,41,14,55,48164,2649000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,315,1 bed,38,13,51,50000,2550000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,317,1 bed,38,13,51,49000,2499000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,319,1 bed,42,0,42,59500,2499000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,323,1 bed,36,0,36,77750,2799000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,403,1 bed,41,14,55,49982,2749000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,413,1 bed,43,14,57,50860,2899000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,415,1 bed,48,16,64,46859,2999000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,416,1 bed,42,0,42,61881,2599000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,420,1 bed,36,0,36,68056,2450000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,503,1 bed,41,14,55,51800,2849000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,518,1 bed,36,0,36,69306,2495000,,,UNSOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,513,2 bed,59,18,77,51935,3999000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,5th,519,2 bed,62,17,79,Blank Price,,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,301,Studio,41,11,52,Blank Price,,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,302,Studio,30,13,43,Blank Price,,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,304,Studio,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,305,Studio,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,306,Studio,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,307,Studio,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,308,Studio,31,0,31,56452,1750000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,309,Studio,31,0,31,56452,1750000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,310,Studio,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,311,Studio,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,312,Studio,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,313,Studio,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,314,Studio,31,0,31,57387,1779000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,316,Studio,25,12,37,40514,1499000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,318,Studio,30,0,30,56633,1699000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,320,Studio,31,0,31,57387,1779000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,321,Studio,31,0,31,57387,1779000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,322,Studio,30,0,30,57633,1729000,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,3rd,324,Studio,29,0,29,0,,,,SOLD,
10-Jan-23,Cape Town City Centre,The Barracks,Augoustides Brothers ,4th,401,Studio,41,11,52,0,,,,SOLD,
