District,Case ID,Application Type,ERF Number,ISIS Key,Locality Address,Allotment Area,Status Description,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Building Work Value Group,Number of Units,RDP/LCH Indicator,Submission Date,Approved Date,Commencement Date,Completion Date,Year,Area 2
Tygerberg,70409221,Building Plan > 10 000m2,23334,696058,2 DE LA REY STREET  PAROW EAST,PAROW,Work Commenced,Additions and Alterations,Private,Non Residential,Other,"Additions to Parow Centre, Parking Bays, Internal Alterations","32,189","245,887,348.80",50 million+,1,No,14/08/2018,14/01/2019,13/06/2019,,2018,PAROW
Tygerberg,70080377,Building Plan < 500m2,19801,624901,"147 N1, A FREEWAY  AVONDALE",PAROW,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"171,182,719.00",50 million+,1,No,21/06/2010,23/02/2011,01/03/2011,14/03/2012,2010,PAROW
Tygerberg,70418805,Building Plan > 10 000m2,24602,14310912,4C FRANCIE VAN ZIJL DRIVE   TYGERBERG HOSPITAL,PAROW,Work Commenced,Additions and Alterations,Private,Non Residential,Other,"New Biomedical Science Reasearch Building, Internal Alterations","19,885","157,081,013.70",50 million+,1,No,11/09/2018,22/01/2019,12/06/2019,,2018,BELLVILLE CBD
Northern,70253616,Building Plan > 500m2,38060,697049,12 MISPEL WAY  TYGERVALLEY,BELLVILLE,Certificate Issued,Non Residential,Private,Shopping Space,Other,Parking Bays,"23,296","156,316,160.00",50 million+,1,No,03/09/2015,12/11/2015,16/11/2015,15/11/2016,2015,TYGERVALLEY
Northern,70012147,Building Plan > 10 000m2,32140,654918,1 SPORTICA CRESCENT  TYGERVALLEY,BELLVILLE,Certificate Issued,Non Residential,Private,Tourism/Casinos,Offices,Offices,"26,936","145,454,400.00",50 million+,1,No,07/11/2011,13/02/2012,17/02/2012,20/11/2014,2011,TYGERVALLEY
Northern,70092478,Building Plan > 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Shop Extension,Shop Extension,"4,560","130,824,200.00",50 million+,1,No,15/03/2011,09/09/2011,20/09/2011,07/02/2014,2011,TYGERVALLEY
Tygerberg,70087695,Building Plan < 500m2,39270,805946,155 DURBAN ROAD  OAKDALE,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"126,000,000.00",50 million+,1,No,28/07/2010,25/10/2010,01/11/2010,,2010,BELLVILLE
Tygerberg,70282361,Building Plan > 10 000m2,25271,648305,6 LA BELLE ROAD  STIKLAND INDUSTRIA,BELLVILLE,Work Complete,Non Residential,Private,Industrial Warehouse,Other,New Warehouse,"18,231","121,087,630.00",50 million+,1,No,16/02/2016,28/04/2016,26/05/2016,26/03/2018,2016,STIKLAND INDUSTRIA
Northern,70379525,Building Plan > 10 000m2,40970,61282018,2 SOPRANO STREET  DOOR DE KRAAL FARM,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Offices,,"13,340","116,725,000.00",50 million+,1,No,05/12/2017,06/04/2018,26/04/2018,02/12/2019,2017,TYGER NORTHERN SUBURBS
Tygerberg,70263622,Building Plan > 10 000m2,40801,41957684,8C VOORTREKKER ROAD   HARDEKRAALTJIE,BELLVILLE,Certificate Issued,Non Residential,Public,All Other Space,Offices,Water and Sanitation Department Building,"12,477","111,513,750.00",50 million+,1,No,01/06/2016,20/07/2016,07/07/2016,26/11/2019,2016,BELLVILLE
Tygerberg,70350988,Building Plan > 10 000m2,40958,61373883,21 LA BELLE ROAD  STIKLAND INDUSTRIA,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Factory,,"14,064","98,119,770.00",50 million+,1,No,01/06/2017,18/09/2017,18/10/2017,17/09/2018,2017,STIKLAND INDUSTRIA
Tygerberg,70014568,Building Plan > 10 000m2,23334,696058,2 DE LA REY STREET  PAROW EAST,PAROW,Work Commenced,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,"21,647","96,329,150.00",50 million+,1,No,07/01/2011,11/03/2011,10/03/2011,,2011,PAROW
Tygerberg,70017808,Building Plan > 10 000m2,40196,1077874,,BELLVILLE,Work Complete,Non Residential,Private,Tourism/Casinos,Other,New Building,"10,582","82,433,780.00",50 million+,1,No,17/10/2012,07/06/2013,11/06/2013,17/11/2014,2012,BELLVILLE
Tygerberg,70452874,Building Plan > 10 000m2,40741,18963282,210A DURBAN ROAD   OAKDALE,BELLVILLE,Work Commenced,Non Residential,Private,All Other Space,Other,Storage Facilities,"10,756","75,507,120.00",50 million+,1,No,18/04/2019,27/08/2019,02/10/2019,,2019,BELLVILLE
Tygerberg,70480985,Building Plan > 10 000m2,41256,85121608,17 BELL STREET   STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall","10,617","74,854,740.00",50 million+,1,No,08/11/2019,28/02/2020,03/03/2020,,2019,STIKLAND INDUSTRIA
Northern,70002739,Building Plan > 500m2,39224,793340,3 HOWICK SLOT  TYGERVALLEY WATERFRONT,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Offices,,"8,680","69,266,400.00",50 million+,1,No,03/04/2013,14/08/2014,22/09/2014,07/12/2015,2013,TYGERVALLEY
