Case ID,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Number of Units,Year,Area 2
70409221,Additions and Alterations,Private,Non Residential,Other,"Additions to Parow Centre, Parking Bays, Internal Alterations",32189,245887349,1,2018,PAROW
70080377,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,171182719,1,2010,PAROW
70418805,Additions and Alterations,Private,Non Residential,Other,"New Biomedical Science Reasearch Building, Internal Alterations",19885,157081014,1,2018,BELLVILLE CBD
70253616,Non Residential,Private,Shopping Space,Other,Parking Bays,23296,156316160,1,2015,TYGERVALLEY
70012147,Non Residential,Private,Tourism/Casinos,Offices,Offices,26936,145454400,1,2011,TYGERVALLEY
70092478,Additions and Alterations,Private,Non Residential,Shop Extension,Shop Extension,4560,130824200,1,2011,TYGERVALLEY
70087695,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,126000000,1,2010,BELLVILLE
70282361,Non Residential,Private,Industrial Warehouse,Other,New Warehouse,18231,121087630,1,2016,STIKLAND INDUSTRIA
70379525,Non Residential,Private,Office/Bank Space,Offices,,13340,116725000,1,2017,TYGER NORTHERN SUBURBS
70263622,Non Residential,Public,All Other Space,Offices,Water and Sanitation Department Building,12477,111513750,1,2016,BELLVILLE
70350988,Non Residential,Private,Industrial Warehouse,Factory,,14064,98119770,1,2017,STIKLAND INDUSTRIA
70014568,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,21647,96329150,1,2011,PAROW
70017808,Non Residential,Private,Tourism/Casinos,Other,New Building,10582,82433780,1,2012,BELLVILLE
70452874,Non Residential,Private,All Other Space,Other,Storage Facilities,10756,75507120,1,2019,BELLVILLE
70480985,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall",10617,74854740,1,2019,STIKLAND INDUSTRIA
70002739,Non Residential,Private,Office/Bank Space,Offices,,8680,69266400,1,2013,TYGERVALLEY
70347430,Residential,Private,Block of Flats,Other,Block of Flats,8257,68383890,133,2017,TYGER NORTHERN SUBURBS
70296108,Residential,Private,Block of Flats,Flats,Student Accommodation https://mystudenthouse.co.za/picton-apartments/,8469,63703640,102,2016,PAROW
70023343,Non Residential,Private,Office/Bank Space,Offices,Offices,9382,63120610,1,2013,TYGERVALLEY
70310874,Residential,Private,Block of Flats,Flats,St. Johannis Lifestyle Estate,8198,56656340,46,2016,BELLVILLE
70383459,Non Residential,Private,Office/Bank Space,Offices,,5989,52403750,1,2018,TYGER NORTHERN SUBURBS
70170841,Non Residential,Private,Tourism,Shops,Shops,15791,52110300,1,2005,TYGERVALLEY
70422795,Residential,Private,Block of Flats,Flats,,6106,49046760,36,2019,BELLVILLE
70286167,Additions and Alterations,Private,Non Residential,Other,"Office Extension, Parking Deck",6020,47026550,1,2016,GOODWOOD
70474375,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall, Offices",5949,41964840,1,2019,BELLVILLE
70188866,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Fence",6171,41547210,1,2015,STIKLAND INDUSTRIA
70366540,Non Residential,Private,Office/Bank Space,Other,"Offices, Carport, Wall",5288,41128500,3,2017,TYGER NORTHERN SUBURBS
70235689,Non Residential,Private,Industrial Warehouse,Factory,,6050,40595500,1,2015,BELLVILLE
70016697,Non Residential,Private,Office/Bank Space,Offices,Offices,9100,40595000,1,2011,TYGERVALLEY
70010575,Additions and Alterations,Private,Internal Alterations,Other,Emergency Centre Refurbishing,0,36000000,1,2011,BELLVILLE
70127649,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,8569,35732730,1,2008,PAROW
70114774,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,3950,35300000,1,2009,BELLVILLE
70042805,Residential,Private,Block of Flats,Other,Block of Flats,15364,35029920,282,2012,ELSIES RIVER INDUSTRIA
70428153,Residential,Private,Block of Flats,Other,Flats,4251,34900710,73,2018,ELSIES RIVER INDUSTRIA
70524494,Non Residential,Private,Industrial Warehouse,Factory,,4890,34451700,1,2020,STIKLAND INDUSTRIA
70459415,Non Residential,Private,Industrial Warehouse,Other,Warehouse,5719,34315130,1,2019,STIKLAND INDUSTRIA
70386094,Non Residential,Private,Industrial Warehouse,Factory,,4876,34229520,1,2017,STIKLAND INDUSTRIA
70542058,Residential,Private,Block of Flats,Other,"Block of Flats, Wall",4063,33401330,53,2021,BELLVILLE
70020464,Non Residential,Private,Office/Bank Space,Other,Laboratory,4291,32740330,1,2012,PAROW
70191181,Residential,Private,Other Residential Buildings,Other,Student Accomodation,4042,32740200,200,2015,BELLVILLE CBD
70157827,Residential,Private,Block of Flats,Other,"Block of Flats, Wall (52 Units)",4001,32541100,52,2014,BELLVILLE
70445276,Residential,Private,Block of Flats,Flats,,3950,32429500,64,2019,ELSIES RIVER INDUSTRIA
70320355,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,30840482,1,2016,BELLVILLE CBD
70388528,Additions and Alterations,Private,Block of Flats,Other,Mixed use: Addition of Flats and Shops,2918,29156780,108,2018,GOODWOOD
70278146,Residential,Private,Block of Flats,Other,Flats,3500,28835650,64,2016,BELLVILLE
70442957,Non Residential,Private,Industrial Warehouse,Factory,,4080,28641600,1,2019,STIKLAND INDUSTRIA
70011968,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,28247000,1,2010,BELLVILLE
70521392,Residential,Private,Other Residential Buildings,Other,Student Accommodation,3420,28078200,1,2020,BELLVILLE
70023907,Non Residential,Public,Schools/Technicons/Libraries,Other,School,4173,26039520,1,2013,GOODWOOD
70275071,Non Residential,Public,Schools/Technicons/Libraries,Other,"Chere Botha: New School, Swimming Pool, Wall, Carport",3515,24951050,1,2015,BELLVILLE
70019095,Additions and Alterations,Private,Non Residential,Other,Parking Garage,4570,24678000,1,2013,TYGERVALLEY
70278090,Residential,Private,Other Residential Buildings,Other,Student Accommodation,3450,24219000,200,2016,BELLVILLE CBD
70371910,Non Residential,Private,Industrial Warehouse,Other,Warehouse,3408,24142840,1,2017,STIKLAND INDUSTRIA
70042002,Additions and Alterations,Private,Non Residential,Other,Additional Storey (forth),3062,23852980,1,2013,BELLVILLE
70239020,Non Residential,Private,Industrial Warehouse,Other,Storage and Internal Alterations,3200,23032000,1,2015,BEACONVALE INDUSTRIA
70479579,Additions and Alterations,Private,Non Residential,Other,Faculty Extension Stellenbosch University Tygerberg Campus,2123,22799888,1,2019,BELLVILLE CBD
70408502,Non Residential,Private,Office/Bank Space,Other,"Offices, Boundary Wall",3189,22650880,1,2018,STIKLAND INDUSTRIA
70005025,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,5000,22250000,1,2011,PAROW EAST
70388960,Non Residential,Private,Office/Bank Space,Offices,,2537,21949650,1,2018,TYGER NORTHERN SUBURBS
70438291,Non Residential,Private,Industrial Warehouse,Other,Warehouse,3111,21839220,1,2018,BELLVILLE
70347387,Non Residential,Private,Industrial Warehouse,Other,Warehouse,3059,21474180,1,2017,BEACONVALE INDUSTRIA
70348454,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Shop,0,20800000,1,2017,TYGERVALLEY
70007238,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,20722381,1,2012,BEACONVALE INDUSTRIA
70384620,Non Residential,Private,Industrial Warehouse,Other,Warehouse,2872,20161440,1,2017,STIKLAND INDUSTRIA
70287706,Additions and Alterations,Private,Non Residential,Other,"Workshop Extension, Wall",2833,20068900,1,2016,STIKLAND INDUSTRIA
70119194,Non Residential,Private,Schools/Technicons/Libraries,Shops,Shops,3585,19000000,1,2002,TYGERVALLEY
70462461,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,"Flats Addition, Refuse Area, Internal Alterations",2218,18859780,28,2020,GOODWOOD
70033719,Residential,Private,Other Residential Buildings,Other,New Student Residence,3131,18801000,1,2012,PAROW
